FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
06/01/23,2,3,1,-99,2,-99,4,1,52,-99,3,1,9,-99,1,-99,1,-99,-99,7,8,6,-99,1,-99,1,0,-99,-99,1,1,-99,3,4,2,-99
06/01/23,3,20,0,-99,1,-99,2,1,59,-99,10,1,2,-99,1,-99,9,-99,-99,6,12,28,-99,1,-99,1,0,-99,-99,1,3,-99,12,2,2,-99
06/01/23,4,18,0,-99,1,-99,4,6,30,-99,3,1,4,-99,3,-99,20,-99,-99,15,67,20,-99,0,-99,1,8,-99,-99,1,16,-99,4,4,2,-99
06/01/23,5,4,0,-99,5,-99,18,4,38,-99,4,1,5,-99,7,-99,26,-99,-99,14,73,58,-99,1,-99,16,22,-99,-99,3,6,-99,121,11,37,-99
06/01/23,6,12,0,-99,6,-99,21,3,138,-99,10,1,10,-99,29,-99,29,-99,-99,61,74,79,-99,2,-99,10,29,-99,-99,4,16,-99,34,7,32,-99
06/01/23,7,39,2,-99,36,-99,42,22,159,-99,14,2,35,-99,58,-99,69,-99,-99,102,88,112,-99,51,-99,31,74,-99,-99,9,33,-99,59,52,36,-99
06/01/23,8,76,3,-99,96,-99,106,61,95,-99,37,8,71,-99,81,-99,89,-99,-99,161,82,208,-99,103,-99,54,116,-99,-99,38,66,-99,111,71,79,-99
06/01/23,9,41,7,-99,73,-99,112,67,113,-99,59,20,74,-99,92,-99,75,-99,-99,114,74,158,-99,80,-99,76,86,-99,-99,33,119,-99,66,67,103,-99
06/01/23,10,26,15,-99,49,-99,69,32,45,-99,38,22,58,-99,54,-99,41,-99,-99,81,51,27,-99,39,-99,73,43,-99,-99,15,110,-99,23,55,75,-99
06/01/23,11,11,20,-99,47,-99,42,19,17,-99,30,16,44,-99,50,-99,25,-99,-99,51,-99,6,-99,21,-99,37,23,-99,-99,8,88,-99,11,18,20,-99
06/01/23,12,7,16,-99,-99,-99,24,14,11,-99,12,16,20,-99,32,-99,16,-99,-99,30,28,3,-99,9,-99,-99,10,-99,-99,4,37,-99,9,14,9,-99
06/01/23,13,2,4,-99,-99,-99,10,8,6,-99,10,6,15,-99,11,-99,10,-99,-99,15,12,2,-99,6,-99,-99,7,-99,-99,4,17,-99,6,10,9,-99
06/01/23,14,3,3,-99,-99,-99,5,4,5,-99,7,4,8,-99,6,-99,4,-99,-99,4,6,1,-99,5,-99,-99,3,-99,-99,4,11,-99,2,4,2,-99
06/01/23,15,2,3,-99,2,-99,3,3,1,-99,4,4,6,-99,4,-99,1,-99,-99,2,4,0,-99,3,-99,-99,1,-99,-99,2,13,-99,2,3,2,-99
06/01/23,16,4,3,-99,2,-99,2,2,1,-99,3,4,6,-99,5,-99,1,-99,-99,2,3,0,-99,1,-99,1,0,-99,-99,1,13,-99,1,1,1,-99
06/01/23,17,3,2,-99,2,-99,1,1,5,-99,2,3,4,-99,5,-99,0,-99,-99,7,2,0,-99,2,-99,1,0,-99,-99,2,4,-99,0,1,1,-99
06/01/23,18,2,2,-99,1,-99,2,1,4,-99,1,3,8,-99,1,-99,0,-99,-99,2,2,0,-99,1,-99,0,0,-99,-99,0,17,-99,0,0,1,-99
06/01/23,19,2,1,-99,1,-99,23,1,6,-99,5,5,39,-99,4,-99,6,-99,-99,6,41,0,-99,0,-99,0,3,-99,-99,1,27,-99,0,0,2,-99
06/01/23,20,1,1,-99,1,-99,48,1,4,-99,27,28,34,-99,4,-99,6,-99,-99,4,20,0,-99,0,-99,1,13,-99,-99,1,21,-99,0,0,3,-99
06/01/23,21,1,1,-99,2,-99,24,2,6,-99,7,21,24,-99,3,-99,13,-99,-99,16,4,1,-99,0,-99,1,17,-99,-99,3,23,-99,1,1,2,-99
