FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CHO,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,TAH,TLA,TLI,UIZ,VIF,XAL
05/01/23,12,49,-99,20,47,61,73,38,27,1,-99,96,-99,29,45,51,-99,47,86,-99,-99,109,-99,67,66,-99,86,45,-99
05/01/23,13,38,-99,-99,54,48,58,26,5,-99,-99,59,-99,23,-99,37,-99,65,80,-99,-99,69,-99,58,57,-99,71,16,-99
05/01/23,14,23,-99,17,52,-99,68,19,1,15,-99,32,-99,27,19,35,-99,104,50,-99,-99,48,-99,60,39,-99,39,8,-99
05/01/23,15,15,-99,29,33,33,75,38,17,25,-99,42,-99,33,27,18,-99,94,43,-99,-99,36,-99,57,42,-99,42,33,-99
05/01/23,16,23,-99,21,28,27,57,41,17,26,-99,31,-99,42,17,-99,-99,89,29,-99,-99,61,-99,45,40,-99,34,24,-99
05/01/23,17,43,-99,26,30,42,63,33,35,37,-99,29,-99,46,17,21,-99,78,26,-99,-99,76,-99,-99,36,-99,41,44,-99
05/01/23,18,49,-99,77,32,32,72,33,130,87,-99,41,-99,40,52,19,-99,57,49,-99,-99,44,-99,-99,53,-99,38,67,-99
05/01/23,19,72,-99,92,47,87,70,50,106,131,-99,60,-99,35,102,37,-99,152,114,-99,-99,67,-99,94,76,-99,42,108,-99
05/01/23,20,63,-99,43,44,67,74,51,66,81,-99,56,-99,28,87,52,-99,119,105,-99,-99,77,-99,61,63,-99,49,58,-99
05/01/23,21,49,-99,43,38,46,82,44,49,40,-99,36,-99,26,53,40,-99,71,62,-99,-99,48,-99,92,56,-99,40,43,-99
05/01/23,22,38,-99,42,37,42,84,44,35,30,-99,33,-99,24,41,37,-99,54,48,-99,-99,35,-99,42,51,-99,41,53,-99
05/01/23,23,33,-99,36,35,39,50,30,58,44,-99,36,-99,17,52,32,-99,49,41,-99,-99,29,-99,58,38,-99,24,53,-99
05/01/23,24,29,-99,26,31,40,70,29,39,23,-99,30,-99,13,41,31,-99,42,38,-99,-99,27,-99,35,36,-99,31,61,-99
06/01/23,1,46,-99,14,26,28,95,30,25,10,-99,28,-99,14,39,30,-99,38,35,-99,-99,35,-99,25,33,-99,26,43,-99
06/01/23,2,45,-99,10,26,33,90,30,18,8,-99,31,-99,11,31,34,-99,34,30,-99,-99,24,-99,22,33,-99,32,24,-99
06/01/23,3,48,-99,-99,26,32,89,28,2,-99,-99,32,-99,16,33,31,-99,26,33,-99,-99,32,-99,27,29,-99,30,25,-99
06/01/23,4,39,-99,-99,28,26,62,18,6,-99,-99,38,-99,17,40,30,-99,24,33,-99,-99,52,-99,25,51,-99,38,40,-99
06/01/23,5,49,-99,-99,25,31,46,23,1,-99,-99,40,-99,21,41,32,-99,19,43,-99,-99,57,-99,26,23,-99,42,50,-99
06/01/23,6,39,-99,-99,35,31,62,20,4,-99,-99,57,-99,19,44,40,-99,25,45,-99,-99,50,-99,33,28,-99,32,66,-99
06/01/23,7,55,-99,-99,36,31,78,28,16,-99,-99,58,-99,15,55,49,-99,32,53,-99,-99,54,-99,29,30,-99,44,43,-99
06/01/23,8,54,-99,-99,37,40,83,26,27,-99,-99,58,-99,16,75,50,-99,29,75,-99,-99,76,-99,58,43,-99,48,109,-99
06/01/23,9,65,-99,-99,48,60,90,28,37,-99,-99,63,-99,17,63,57,-99,38,74,-99,-99,71,-99,80,66,-99,55,124,-99
06/01/23,10,50,-99,-99,52,63,81,41,49,-99,-99,79,-99,20,55,50,-99,39,64,-99,-99,71,-99,67,98,-99,58,120,-99
06/01/23,11,52,-99,-99,56,87,66,52,61,-99,-99,92,-99,21,58,56,-99,48,61,-99,-99,66,-99,55,123,-99,50,81,-99
06/01/23,12,52,-99,-99,63,75,70,43,73,-99,-99,83,-99,25,62,72,-99,57,51,-99,-99,62,-99,52,94,-99,58,61,-99
06/01/23,13,52,-99,-99,50,80,60,34,12,-99,-99,91,-99,27,27,47,-99,23,48,-99,-99,68,-99,-99,64,-99,53,18,-99
06/01/23,14,34,-99,76,31,69,55,34,-99,-99,-99,62,-99,34,-99,38,-99,33,34,-99,-99,53,-99,-99,58,-99,24,-99,-99
06/01/23,15,38,-99,51,28,56,50,23,-99,43,-99,57,-99,40,31,51,-99,41,37,-99,-99,41,-99,30,60,-99,30,9,-99
06/01/23,16,46,-99,50,33,52,49,28,69,67,-99,39,-99,38,39,33,-99,60,38,-99,-99,48,-99,39,77,-99,38,30,-99
06/01/23,17,42,-99,60,35,48,63,34,48,50,-99,33,-99,45,33,38,-99,82,51,-99,-99,52,-99,71,74,-99,42,21,-99
06/01/23,18,36,-99,56,37,36,82,42,42,84,-99,48,-99,36,65,29,-99,66,57,-99,-99,45,-99,110,66,-99,47,56,-99
06/01/23,19,62,-99,69,47,64,82,57,95,69,-99,58,-99,36,87,43,-99,60,88,-99,-99,58,-99,83,74,-99,54,158,-99
06/01/23,20,62,-99,58,51,81,77,79,147,82,-99,78,-99,31,95,56,-99,43,73,-99,-99,69,-99,70,127,-99,50,96,-99
06/01/23,21,35,-99,57,59,58,66,69,107,77,-99,51,-99,33,80,67,-99,46,61,-99,-99,52,-99,99,80,-99,59,47,-99
06/01/23,22,43,-99,46,52,62,94,51,77,92,-99,66,-99,30,56,47,-99,37,68,-99,-99,50,-99,81,71,-99,59,109,-99
06/01/23,23,42,-99,43,37,49,70,47,88,36,-99,59,-99,27,66,65,-99,33,68,-99,-99,46,-99,33,50,-99,56,96,-99
06/01/23,24,59,-99,39,35,45,64,36,30,38,-99,57,-99,27,65,43,-99,31,62,-99,-99,36,-99,62,47,-99,55,90,-99
07/01/23,1,62,-99,70,35,59,69,35,28,35,-99,60,-99,21,45,41,-99,30,52,-99,-99,42,-99,63,50,-99,56,56,-99
07/01/23,2,70,-99,25,34,39,52,38,21,32,-99,67,-99,14,44,40,-99,31,53,-99,-99,51,-99,38,41,-99,75,68,-99
07/01/23,3,72,-99,19,31,31,73,30,18,30,-99,47,-99,17,51,37,-99,32,47,-99,-99,69,-99,86,34,-99,71,58,-99
