FECHA,HORA,AJM,AJU,BJU,CAM,CCA,COY,FAR,GAM,HGM,INN,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TLA,UAX,UIZ,XAL
06/01/23,1,-99,-99,15,15,23,-99,22,11,-99,7,16,-99,17,19,12,-99,26,19,-99,-99,16,19,14,-99
06/01/23,2,-99,-99,15,17,20,-99,16,16,-99,6,19,-99,19,21,19,-99,26,9,-99,-99,19,18,17,-99
06/01/23,3,-99,-99,17,21,13,-99,19,13,-99,9,19,-99,26,16,15,-99,17,19,-99,-99,17,19,17,-99
06/01/23,4,-99,-99,16,14,12,-99,18,16,-99,8,17,-99,18,15,16,-99,22,21,-99,-99,25,18,23,-99
06/01/23,5,-99,-99,14,17,9,-99,16,17,-99,11,20,-99,21,13,25,-99,28,23,-99,-99,11,16,28,-99
06/01/23,6,-99,-99,22,18,13,-99,24,21,-99,10,24,-99,23,15,26,-99,27,23,-99,-99,16,21,19,-99
06/01/23,7,-99,-99,20,16,16,-99,25,22,-99,8,29,-99,27,17,25,-99,35,20,-99,-99,14,24,22,-99
06/01/23,8,-99,-99,20,16,16,-99,22,22,-99,9,26,-99,40,19,30,-99,33,30,-99,-99,18,22,26,-99
06/01/23,9,-99,-99,29,28,14,-99,26,24,-99,9,33,-99,58,23,29,-99,63,27,-99,-99,28,22,29,-99
06/01/23,10,-99,-99,32,31,19,-99,18,36,-99,9,30,-99,27,28,30,-99,57,32,-99,-99,46,18,31,-99
06/01/23,11,-99,-99,33,48,24,-99,15,45,-99,10,34,-99,28,26,33,-99,49,33,-99,-99,55,17,27,-99
06/01/23,12,-99,-99,39,38,28,-99,18,39,-99,13,55,-99,22,31,24,-99,-99,29,-99,-99,46,20,32,-99
06/01/23,13,-99,-99,31,52,22,-99,17,47,-99,11,23,-99,12,18,22,-99,-99,32,-99,-99,32,16,32,-99
06/01/23,14,-99,-99,19,51,10,-99,16,26,-99,18,25,-99,-99,13,13,-99,-99,16,-99,-99,28,11,12,-99
06/01/23,15,-99,-99,19,35,12,-99,3,30,-99,20,42,-99,8,23,10,-99,29,13,-99,-99,30,-99,16,-99
06/01/23,16,-99,-99,21,32,12,-99,8,16,-99,19,19,-99,14,30,17,-99,24,14,-99,-99,43,6,21,-99
06/01/23,17,-99,-99,19,29,18,-99,17,10,-99,20,24,-99,12,39,15,-99,28,22,-99,-99,43,17,22,-99
06/01/23,18,-99,-99,19,17,15,-99,17,21,-99,21,11,-99,18,30,23,-99,28,23,-99,-99,35,20,23,-99
06/01/23,19,-99,-99,23,31,22,-99,20,24,-99,23,15,-99,42,29,28,-99,30,19,-99,-99,30,33,23,-99
06/01/23,20,-99,-99,30,36,22,-99,32,21,-99,22,24,-99,30,26,27,-99,30,17,-99,-99,36,40,23,-99
06/01/23,21,-99,-99,28,17,21,-99,28,9,-99,24,35,-99,38,26,24,-99,27,15,-99,-99,24,37,24,-99
06/01/23,22,-99,-99,25,27,25,-99,29,15,-99,21,10,-99,37,22,25,-99,27,17,-99,-99,24,38,29,-99
06/01/23,23,-99,-99,18,21,17,-99,21,16,-99,16,46,-99,28,18,23,-99,35,14,-99,-99,21,32,26,-99
06/01/23,24,-99,-99,18,20,17,-99,15,19,-99,14,16,-99,29,17,18,-99,44,14,-99,-99,25,23,23,-99
07/01/23,1,-99,-99,18,31,21,-99,21,20,-99,11,19,-99,31,18,20,-99,37,19,-99,-99,25,16,25,-99
07/01/23,2,-99,-99,20,20,22,-99,25,23,-99,7,23,-99,39,19,20,-99,22,22,-99,-99,20,31,44,-99
07/01/23,3,-99,-99,19,17,21,-99,23,18,-99,10,21,-99,33,19,25,-99,30,31,-99,-99,17,27,47,-99
07/01/23,4,-99,-99,22,16,20,-99,24,22,-99,9,28,-99,33,17,29,-99,31,30,-99,-99,18,29,23,-99
07/01/23,5,-99,-99,23,17,18,-99,24,20,-99,10,25,-99,29,15,34,-99,25,37,-99,-99,17,23,23,-99
07/01/23,6,-99,-99,25,19,17,-99,29,38,-99,8,28,-99,26,20,27,-99,37,35,-99,-99,17,28,23,-99
07/01/23,7,-99,-99,26,26,17,-99,29,29,-99,7,34,-99,31,20,31,-99,38,34,-99,-99,16,29,26,-99
07/01/23,8,-99,-99,27,25,15,-99,29,31,-99,4,30,-99,44,16,34,-99,41,48,-99,-99,15,27,25,-99
07/01/23,9,-99,-99,31,20,13,-99,34,35,-99,6,36,-99,61,16,38,-99,43,47,-99,-99,21,26,23,-99
07/01/23,10,-99,-99,35,35,15,-99,25,45,-99,13,37,-99,41,15,30,-99,41,36,-99,-99,33,20,26,-99
07/01/23,11,-99,-99,30,39,27,-99,23,49,-99,14,46,-99,34,28,41,-99,48,46,-99,-99,35,17,35,-99
07/01/23,12,-99,-99,25,35,24,-99,25,46,-99,12,30,-99,7,22,26,-99,43,44,-99,-99,28,2,30,-99
07/01/23,13,-99,-99,18,18,15,-99,14,48,-99,11,43,-99,-99,-99,16,-99,22,11,-99,-99,25,9,24,-99
07/01/23,14,-99,-99,15,38,8,-99,4,37,-99,15,38,-99,4,24,26,-99,32,15,-99,-99,29,4,38,-99
07/01/23,15,-99,-99,18,18,14,-99,7,23,-99,18,37,-99,5,35,17,-99,34,15,-99,-99,16,16,43,-99
07/01/23,16,-99,-99,20,18,16,-99,12,35,-99,14,25,-99,15,34,29,-99,37,19,-99,-99,28,16,40,-99
07/01/23,17,-99,-99,16,20,17,-99,15,17,-99,25,-99,-99,16,34,23,-99,40,18,-99,-99,27,21,34,-99
07/01/23,18,-99,-99,21,24,18,-99,22,19,-99,18,-99,-99,21,34,25,-99,39,17,-99,-99,26,25,30,-99
07/01/23,19,-99,-99,23,32,21,-99,20,18,-99,22,-99,-99,37,37,25,-99,38,20,-99,-99,32,34,33,-99
07/01/23,20,-99,-99,25,25,23,-99,25,24,-99,18,-99,-99,45,36,23,-99,28,21,-99,-99,29,41,30,-99
07/01/23,21,-99,-99,26,35,23,-99,32,8,-99,18,-99,-99,8,38,31,-99,30,21,-99,-99,23,35,29,-99
07/01/23,22,-99,-99,16,5,27,-99,12,13,-99,17,-99,-99,20,36,15,-99,25,13,-99,-99,21,37,18,-99
07/01/23,23,-99,-99,19,22,20,-99,21,5,-99,19,31,-99,40,32,15,-99,15,12,-99,-99,22,24,15,-99
07/01/23,24,-99,-99,17,23,17,-99,13,14,-99,15,16,-99,53,20,18,-99,20,16,-99,-99,19,23,21,-99
08/01/23,1,-99,-99,18,14,8,-99,11,19,-99,9,14,-99,53,12,23,-99,24,18,-99,-99,13,19,20,-99
08/01/23,2,-99,-99,15,18,10,-99,28,15,-99,4,14,-99,102,9,30,-99,22,23,-99,-99,19,20,19,-99
08/01/23,3,-99,-99,12,15,9,-99,25,14,-99,5,14,-99,42,8,28,-99,23,34,-99,-99,15,21,20,-99
08/01/23,4,-99,-99,7,5,5,-99,25,12,-99,3,15,-99,30,5,22,-99,23,33,-99,-99,14,14,20,-99
08/01/23,5,-99,-99,7,9,8,-99,26,18,-99,2,19,-99,33,6,28,-99,24,24,-99,-99,13,17,21,-99
08/01/23,6,-99,-99,15,5,10,-99,33,27,-99,7,25,-99,28,6,25,-99,32,28,-99,-99,9,31,23,-99
08/01/23,7,-99,-99,17,10,14,-99,21,29,-99,12,27,-99,32,9,23,-99,34,16,-99,-99,6,29,21,-99
08/01/23,8,-99,-99,25,9,10,-99,18,31,-99,7,27,-99,40,17,26,-99,31,14,-99,-99,15,26,28,-99
08/01/23,9,-99,-99,20,17,10,-99,15,29,-99,-99,38,-99,30,15,39,-99,40,20,-99,-99,9,21,24,-99
08/01/23,10,-99,-99,30,25,17,-99,22,30,-99,10,39,-99,27,13,40,-99,46,-99,-99,-99,20,32,31,-99
08/01/23,11,-99,-99,32,32,24,-99,26,30,-99,8,40,-99,28,16,28,-99,47,32,-99,-99,24,10,30,-99
08/01/23,12,-99,-99,26,25,15,-99,22,36,-99,13,29,-99,16,10,26,-99,42,30,-99,-99,25,7,32,-99
08/01/23,13,-99,-99,23,34,14,-99,8,27,-99,11,19,-99,6,13,20,-99,28,19,-99,-99,17,7,18,-99
08/01/23,14,-99,-99,20,25,9,-99,5,27,-99,12,29,-99,8,21,12,-99,16,14,-99,-99,16,6,17,-99
08/01/23,15,-99,-99,21,27,17,-99,3,31,-99,15,24,-99,11,22,14,-99,15,14,-99,-99,19,11,20,-99
08/01/23,16,-99,-99,26,25,12,-99,8,28,-99,13,39,-99,10,23,16,-99,25,16,-99,-99,24,12,23,-99
08/01/23,17,-99,-99,18,24,17,-99,17,30,-99,23,26,-99,11,29,18,-99,27,20,-99,-99,24,16,24,-99
08/01/23,18,-99,-99,21,20,19,-99,22,26,-99,26,29,-99,13,31,17,-99,21,16,-99,-99,26,20,21,-99
08/01/23,19,-99,-99,25,17,22,-99,20,29,-99,16,33,-99,45,28,24,-99,30,21,-99,-99,22,32,20,-99
08/01/23,20,-99,-99,25,13,20,-99,16,10,-99,19,26,-99,29,32,24,-99,31,14,-99,-99,15,40,22,-99
