FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
04/01/23,2,27,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,37,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,3,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,30,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
04/01/23,4,20,6,-99,18,26,27,17,24,-99,22,11,15,29,-99,29,-99,30,-99,-99,29,26,21,11,32,-99,27,31,-99,-99,-99,25,-99,-99,31,26,-99
04/01/23,5,18,7,-99,16,26,24,17,23,-99,27,10,17,27,-99,28,-99,30,-99,-99,29,32,18,6,29,-99,31,29,-99,-99,-99,21,-99,-99,28,23,-99
04/01/23,6,20,9,-99,20,23,24,16,19,-99,23,12,17,24,-99,26,-99,30,-99,-99,29,28,16,5,28,-99,30,25,-99,-99,-99,22,-99,-99,28,21,-99
04/01/23,7,20,12,-99,21,24,23,17,21,-99,29,17,20,23,-99,30,-99,32,-99,-99,38,28,17,7,27,-99,28,25,-99,-99,-99,24,-99,-99,29,21,-99
04/01/23,8,20,13,-99,20,25,37,17,25,-99,34,19,22,24,-99,34,-99,38,-99,-99,46,30,18,6,29,-99,31,27,-99,-99,-99,25,-99,-99,27,24,-99
04/01/23,9,20,26,-99,26,31,37,23,30,-99,31,19,26,25,-99,47,-99,45,-99,-99,50,37,27,7,35,-99,46,32,-99,-99,-99,38,-99,-99,35,29,-99
04/01/23,10,26,24,-99,36,44,57,34,39,-99,23,31,40,33,-99,58,-99,62,-99,-99,57,48,34,9,45,-99,56,45,-99,-99,23,46,-99,-99,48,41,-99
04/01/23,11,14,21,-99,33,46,66,33,47,-99,16,49,42,40,-99,59,-99,59,-99,-99,64,45,23,7,41,-99,73,56,-99,-99,26,53,-99,-99,63,41,-99
04/01/23,12,9,21,-99,40,44,41,27,43,-99,26,32,29,39,-99,50,-99,53,-99,-99,45,38,12,7,28,-99,32,41,-99,-99,20,49,-99,-99,43,21,-99
04/01/23,13,9,19,-99,33,37,39,27,31,-99,26,20,36,26,-99,43,-99,39,-99,-99,44,39,7,8,23,-99,28,25,-99,-99,28,32,-99,41,31,13,-99
04/01/23,14,6,24,-99,25,30,42,32,21,-99,28,21,40,15,-99,45,-99,33,-99,-99,42,36,6,11,18,-99,26,18,-99,-99,21,38,-99,33,21,15,-99
04/01/23,15,7,29,-99,21,24,40,31,18,-99,22,25,29,14,-99,33,-99,25,-99,-99,45,32,6,7,17,-99,26,14,-99,-99,16,31,-99,15,23,12,-99
04/01/23,16,7,27,-99,21,19,32,23,18,-99,25,15,30,11,-99,26,-99,19,-99,-99,20,3,5,4,15,-99,19,12,-99,-99,10,31,-99,10,14,9,-99
04/01/23,17,9,25,-99,18,13,31,22,16,-99,25,16,29,10,-99,24,-99,18,-99,-99,28,29,5,4,18,-99,19,13,-99,-99,12,34,-99,13,27,7,-99
04/01/23,18,10,28,-99,23,26,37,22,22,-99,42,27,38,14,24,32,-99,34,-99,-99,49,44,8,3,24,-99,30,25,-99,-99,25,36,-99,20,62,12,-99
04/01/23,19,9,34,-99,32,45,58,34,30,-99,44,49,54,23,37,42,-99,60,-99,-99,69,57,16,4,34,-99,19,29,-99,-99,14,57,-99,35,59,21,-99
04/01/23,20,14,35,-99,29,28,31,32,50,-99,42,37,35,14,18,25,-99,33,-99,-99,32,38,11,5,25,-99,35,29,-99,-99,28,30,-99,29,25,23,-99
04/01/23,21,13,34,-99,27,31,33,28,50,-99,45,35,46,22,25,30,-99,41,-99,-99,41,32,18,11,32,-99,-99,35,-99,-99,28,39,-99,27,32,26,-99
04/01/23,22,22,20,-99,32,37,44,36,41,-99,28,37,33,38,42,38,-99,44,-99,-99,45,37,21,13,36,-99,-99,40,-99,-99,26,41,-99,43,46,34,-99
04/01/23,23,22,15,-99,27,35,42,41,36,-99,37,29,31,44,46,37,-99,43,-99,-99,46,34,20,12,44,-99,43,43,-99,-99,36,39,-99,48,48,29,-99
04/01/23,24,12,15,-99,32,30,44,39,42,-99,26,33,32,42,45,38,-99,41,-99,-99,41,31,19,17,46,-99,45,28,-99,-99,38,34,-99,42,46,19,-99
05/01/23,1,16,12,-99,25,27,36,28,37,-99,15,23,18,30,33,32,-99,35,-99,-99,38,22,27,17,38,-99,41,16,-99,-99,34,36,-99,37,44,26,-99
05/01/23,2,17,8,-99,14,18,31,18,27,-99,15,16,15,20,37,27,-99,35,-99,-99,34,16,29,11,32,-99,35,24,-99,-99,27,32,-99,37,39,34,-99
05/01/23,3,11,6,-99,11,20,36,17,29,-99,11,10,17,25,44,31,-99,35,-99,-99,38,34,24,8,24,-99,31,30,-99,-99,33,40,-99,36,37,35,-99
05/01/23,4,12,5,-99,16,27,35,14,31,-99,18,7,18,29,40,34,-99,38,-99,-99,37,39,26,6,23,-99,19,32,-99,-99,19,29,-99,31,35,32,-99
05/01/23,5,16,6,-99,13,25,33,15,32,-99,31,6,14,26,34,37,-99,38,-99,-99,35,39,24,5,22,-99,18,29,-99,-99,21,19,-99,29,33,31,-99
05/01/23,6,19,6,-99,23,27,35,18,32,-99,39,9,22,27,29,37,-99,36,-99,-99,35,36,23,4,28,-99,33,33,-99,-99,21,29,-99,28,34,30,-99
05/01/23,7,20,9,-99,25,30,42,23,27,-99,42,19,27,27,31,36,-99,36,-99,-99,45,38,21,4,34,-99,33,32,-99,-99,23,34,-99,27,36,29,-99
05/01/23,8,20,21,-99,28,35,36,22,-99,-99,46,27,29,28,30,46,-99,45,-99,-99,43,37,23,5,31,-99,39,31,-99,-99,24,33,-99,26,38,29,-99
05/01/23,9,22,32,-99,24,49,40,31,-99,-99,27,27,33,31,41,50,-99,49,-99,-99,43,39,28,8,29,-99,39,33,-99,-99,32,44,-99,30,33,29,-99
