FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
07/01/23,7,1,2,1,2,2,0,2,2,1,2,1,6,0,6,-99,4,5,4,3,1,3,-99,-99,2,-99,-99,1,2,-99,2,2,3,-99
07/01/23,8,1,2,2,3,2,1,3,3,1,2,1,6,0,7,-99,4,6,6,4,1,2,-99,-99,2,-99,-99,-99,3,-99,1,2,4,-99
07/01/23,9,1,4,3,7,2,1,2,2,5,5,2,10,1,7,-99,8,7,6,4,2,3,-99,-99,3,-99,-99,2,3,-99,2,5,5,-99
07/01/23,10,2,3,4,6,3,1,2,2,8,4,3,9,2,6,-99,7,8,5,3,2,4,-99,-99,4,-99,-99,2,7,-99,2,6,7,-99
07/01/23,11,5,2,5,5,5,1,4,2,10,6,7,7,2,6,-99,6,8,3,5,2,6,-99,-99,6,-99,-99,3,7,-99,4,6,10,-99
07/01/23,12,4,2,4,4,3,1,3,1,7,4,5,5,2,4,-99,5,5,3,4,2,4,-99,-99,5,-99,-99,2,7,-99,3,4,7,-99
07/01/23,13,2,2,2,3,2,1,3,2,2,3,2,2,2,3,-99,3,4,3,2,2,3,-99,-99,2,-99,-99,2,3,-99,2,3,3,-99
07/01/23,14,3,2,2,3,2,1,2,2,3,3,2,2,2,3,-99,2,3,3,2,2,3,-99,-99,2,-99,-99,2,2,-99,2,3,3,-99
07/01/23,15,3,2,2,3,2,1,2,2,3,3,2,2,2,3,-99,2,3,3,2,2,2,-99,-99,2,-99,-99,2,2,-99,2,3,3,-99
07/01/23,16,3,3,3,3,2,1,2,2,12,3,2,2,2,3,-99,2,3,2,3,2,2,-99,-99,3,-99,-99,2,3,-99,2,2,4,-99
07/01/23,17,3,2,9,2,2,1,2,2,20,3,2,2,2,2,-99,3,3,2,3,2,2,-99,-99,2,-99,-99,2,5,-99,2,2,8,-99
07/01/23,18,3,2,23,3,2,1,2,2,27,11,2,3,2,3,-99,6,3,3,3,2,2,-99,-99,3,-99,-99,2,16,-99,2,2,12,-99
07/01/23,19,3,2,24,6,16,2,1,4,15,27,6,8,1,4,-99,13,8,12,2,1,2,-99,-99,9,-99,-99,1,29,-99,2,2,10,-99
