FECHA,HORA,ESTACION,CO,NO,NO2,NOX,O3,PM10,PM25,PMCO,SO2,RH,TMP,WDR,WSP
2023-01-01,3,TLI,0.4,4.0,22.0,30.0,34.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,3,UAX,0.27,12.0,24.0,36.0,2.0,45.0,88.0,16.0,1.0,77.0,8.6,101.0,0.5
2023-01-01,3,UIZ,0.99,16.0,32.0,48.0,3.0,114.0,98.0,16.0,2.0,77.0,11.5,204.0,1.2
2023-01-01,3,VIF,2.26,81.0,28.0,109.0,8.0,362.0,23.0,16.0,8.0,75.0,7.2,290.0,0.1
2023-01-01,3,XAL,0.48,7.0,29.0,42.0,24.0,45.0,23.0,16.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,4,ACO,0.93,21.0,18.0,39.0,3.0,181.0,23.0,16.0,1.0,92.0,6.8,309.0,1.6
2023-01-01,4,AJM,0.48,1.0,11.0,12.0,26.0,29.0,19.0,9.0,1.0,72.0,6.0,209.0,2.6
2023-01-01,4,AJU,0.355,3.0,19.0,24.0,12.0,45.0,23.0,16.0,1.0,100.0,2.3,10.0,1.0
2023-01-01,4,ATI,0.8,10.0,23.0,33.0,3.0,35.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,BJU,1.14,3.0,23.0,24.0,1.0,71.0,65.0,6.0,1.0,68.0,10.6,155.0,0.9
2023-01-01,4,CAM,1.43,39.0,27.0,66.0,2.0,129.0,112.0,17.0,2.0,51.0,17.4,163.0,1.8
2023-01-01,4,CCA,0.46,5.0,18.0,23.0,2.0,45.0,57.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,CHO,0.34,7.0,15.0,22.5,26.0,52.0,23.0,16.0,1.0,75.0,7.0,135.0,0.6
2023-01-01,4,COY,0.355,3.0,19.0,24.0,26.0,45.0,23.0,16.0,1.0,51.0,17.4,163.0,1.8
2023-01-01,4,CUA,0.31,1.0,8.0,9.0,25.0,32.0,23.0,16.0,1.0,68.0,10.2,258.0,3.0
